GVKEY	datadate	fyearq	fqtr	fyr	tic	cusip	actq	chq	intanq	ltq	cogsy	add1	conml	naics
001690	20100331	2010	2	9	AAPL	037833100	32336.0000	10018.0000	823.0000	17709.0000	16721.0000	One Apple Park Way	Apple Inc	334220
001690	20100630	2010	3	9	AAPL	037833100	36033.0000	9705.0000	1032.0000	21614.0000	26012.0000	One Apple Park Way	Apple Inc	334220
001690	20100930	2010	4	9	AAPL	037833100	41678.0000	11261.0000	1083.0000	27392.0000	38514.0000	One Apple Park Way	Apple Inc	334220
001690	20101231	2011	1	9	AAPL	037833100	43927.0000	10734.0000	1263.0000	32076.0000	16087.0000	One Apple Park Way	Apple Inc	334220
001690	20110331	2011	2	9	AAPL	037833100	46997.0000	15978.0000	1248.0000	33427.0000	30102.0000	One Apple Park Way	Apple Inc	334220
001690	20110630	2011	3	9	AAPL	037833100	46898.0000	12091.0000	1910.0000	37415.0000	46270.0000	One Apple Park Way	Apple Inc	334220
001690	20110930	2011	4	9	AAPL	037833100	44988.0000	9815.0000	4432.0000	39756.0000	62617.0000	One Apple Park Way	Apple Inc	334220
001690	20111231	2012	1	9	AAPL	037833100	54771.0000	10310.0000	4368.0000	48627.0000	24909.0000	One Apple Park Way	Apple Inc	334220
001690	20120331	2012	2	9	AAPL	037833100	50712.0000	10121.0000	4745.0000	48436.0000	44791.0000	One Apple Park Way	Apple Inc	334220
001690	20120630	2012	3	9	AAPL	037833100	51943.0000	7945.0000	5461.0000	51150.0000	63985.0000	One Apple Park Way	Apple Inc	334220
001690	20120930	2012	4	9	AAPL	037833100	57653.0000	10746.0000	5359.0000	57854.0000	84569.0000	One Apple Park Way	Apple Inc	334220
001690	20121231	2013	1	9	AAPL	037833100	72348.0000	16154.0000	5843.0000	68742.0000	31864.0000	One Apple Park Way	Apple Inc	334220
001690	20130331	2013	2	9	AAPL	037833100	63337.0000	12053.0000	5536.0000	59253.0000	57426.0000	One Apple Park Way	Apple Inc	334220
001690	20130630	2013	3	9	AAPL	037833100	68219.0000	11248.0000	5875.0000	76502.0000	78031.0000	One Apple Park Way	Apple Inc	334220
001690	20130930	2013	4	9	AAPL	037833100	73286.0000	14259.0000	5756.0000	83451.0000	99849.0000	One Apple Park Way	Apple Inc	334220
001690	20131231	2014	1	9	AAPL	037833100	80347.0000	14077.0000	6127.0000	95500.0000	33604.0000	One Apple Park Way	Apple Inc	334220
001690	20140331	2014	2	9	AAPL	037833100	70541.0000	18949.0000	5983.0000	85810.0000	59416.0000	One Apple Park Way	Apple Inc	334220
001690	20140630	2014	3	9	AAPL	037833100	67949.0000	12977.0000	6141.0000	101580.0000	80167.0000	One Apple Park Way	Apple Inc	334220
001690	20140930	2014	4	9	AAPL	037833100	68531.0000	13844.0000	8758.0000	120292.0000	104312.0000	One Apple Park Way	Apple Inc	334220
001690	20141231	2015	1	9	AAPL	037833100	83403.0000	19478.0000	8999.0000	138566.0000	42283.0000	One Apple Park Way	Apple Inc	334220
001690	20150331	2015	2	9	AAPL	037833100	67891.0000	14489.0000	8772.0000	132188.0000	74158.0000	One Apple Park Way	Apple Inc	334220
001690	20150630	2015	3	9	AAPL	037833100	70953.0000	15319.0000	8823.0000	147474.0000	100998.0000	One Apple Park Way	Apple Inc	334220
001690	20150930	2015	4	9	AAPL	037833100	89378.0000	21120.0000	9009.0000	171124.0000	128832.0000	One Apple Park Way	Apple Inc	334220
001690	20151231	2016	1	9	AAPL	037833100	76219.0000	16689.0000	9126.0000	165017.0000	42495.0000	One Apple Park Way	Apple Inc	334220
001690	20160331	2016	2	9	AAPL	037833100	87592.0000	21514.0000	9092.0000	174820.0000	70654.0000	One Apple Park Way	Apple Inc	334220
001690	20160630	2016	3	9	AAPL	037833100	93761.0000	18237.0000	8767.0000	179061.0000	94380.0000	One Apple Park Way	Apple Inc	334220
001690	20160930	2016	4	9	AAPL	037833100	106869.0000	20484.0000	8620.0000	193437.0000	120871.0000	One Apple Park Way	Apple Inc	334220
001690	20161231	2017	1	9	AAPL	037833100	103332.0000	16371.0000	8271.0000	198751.0000	45188.0000	One Apple Park Way	Apple Inc	334220
001690	20170331	2017	2	9	AAPL	037833100	101990.0000	15157.0000	8090.0000	200450.0000	75161.0000	One Apple Park Way	Apple Inc	334220
001690	20170630	2017	3	9	AAPL	037833100	112875.0000	18571.0000	8105.0000	212748.0000	100727.0000	One Apple Park Way	Apple Inc	334220
